,نماد,نام,تعداد,حجم,ارزش,دیروز,اولین,آخرین معامله - مقدار,آخرین معامله - تغییر,آخرین معامله - درصد,قیمت پایانی - مقدار,قیمت پایانی - تغییر,قیمت پایانی - درصد,کمترین,بیشترین
163,سخزر,سيمان‌ خزر,602,899628,16576596600,18000,18500,18440,440,2.44,18430,430,2.39,17600,18890
164,سپيدما,صندوق س. سپيد دماوند-د,601,27322746,284021531994,10386,10392,10395,9,0.09,10395,9,0.09,10392,10399
165,شسپا,نفت سپاهان,599,1267143,18003316370,14150,14250,14430,280,1.98,14170,20,0.14,13780,14440
166,فايرا,آلومينيوم‌ايران‌,597,3793148,63527474900,16860,16700,16750,-110,-0.65,16750,-110,-0.65,16280,17050
167,واعتبار,سرمايه گذاري اعتبار ايران,590,2937999,23668887180,7940,7620,8100,160,2.02,8060,120,1.51,7620,8300
168,شاراك,پتروشيمي شازند,582,1133112,28675569190,25000,25030,25340,340,1.36,25110,110,0.44,25030,25640
169,پكرمان,گروه‌ صنعتي‌ بارز,579,4918950,110047278270,21380,21050,22440,1060,4.96,22370,990,4.63,21050,22440
170,فسازان,غلتك سازان سپاهان,578,869628,23978644900,27630,26520,27500,-130,-0.47,27570,-60,-0.22,26520,28460
171,سقاين,سيمان‌ قائن‌,574,1058855,55331110270,49830,47650,52320,2490,5,52260,2430,4.88,47650,52320
172,مدير,ص.س.مديريت ثروت ص.بازنشستگي-س,573,1472355,10871187218,7363,7310,7407,44,0.6,7384,21,0.29,7256,7469
173,كنور,توسعه معدني و صنعتي صبانور,570,507412,25205654940,48770,49870,49200,430,0.88,49160,390,0.8,48200,50290
174,ضسپا3004,اختيارخ خساپا-2500-1400/03/26,569,26675,110957000,7,10,4,-3,-42.86,4,-3,-42.86,3,10
175,غبشهر,صنعتي‌ بهشهر,568,2556079,49535404210,18510,17850,19430,920,4.97,19380,870,4.7,17850,19430
176,تسه9912,امتياز تسهيلات مسكن اسفند99,566,7377,4034679134,529733,523000,530010,277,0.05,546927,17194,3.25,516000,556219
177,ارزش,صندوق س ارزش آفرين بيدار-سهام,561,2451167,19921188780,8140,8010,8150,10,0.12,8130,-10,-0.12,8010,8200
178,همراه,شركت ارتباطات سيار ايران,556,1017284,19172188420,19280,18450,18920,-360,-1.87,19180,-100,-0.52,18400,19230
